"","playerId","playerName","LA_RAPM","LA_RAPM__Def","LA_RAPM__Off","RAPM","RAPM__Def","RAPM__Off","season","Team","MP"
"128",101131,"Jason Maxiell",0.2,-0.66,0.86,-0.52,-1,0.49,"2009-10","DET",1549.69166666667
"129",101131,"Jason Maxiell",-2.7,-1.7,-1,-1.44,-1.28,-0.16,"2010-11","DET",930.118333333333
"130",101131,"Jason Maxiell",0.17,1.21,-1.03,1.33,1.83,-0.5,"2011-12","DET",1465.73166666667
"131",101131,"Jason Maxiell",-1.74,0.59,-2.32,-1.78,-0.13,-1.65,"2012-13","DET",1788.81166666667
"132",101131,"Jason Maxiell",-0.25,1.35,-1.59,-0.64,-0.19,-0.45,"2013-14","ORL",488.471666666667
"133",101131,"Jason Maxiell",-0.16,0.31,-0.46,-1.07,0.02,-1.09,"2014-15","CHA",877.903333333333
"134",101132,"Linas Kleiza",0.98,0.28,0.7,0.86,0.49,0.37,"2010-11","TOR",1031.96166666667
"135",101132,"Linas Kleiza",-0.88,-0.71,-0.17,1.6,0.89,0.71,"2011-12","TOR",1057.06333333333
"136",101132,"Linas Kleiza",-0.97,-1.11,0.14,-0.99,-0.82,-0.16,"2012-13","TOR",375.965
"137",101133,"Ian Mahinmi",0.36,0.55,-0.19,-0.26,0.39,-0.65,"2009-10","SAS",164.643333333333
"138",101133,"Ian Mahinmi",1.86,0.76,1.1,0.99,0.28,0.71,"2010-11","DAL",487.878333333333
"139",101133,"Ian Mahinmi",0.88,1.92,-1.05,1.38,1.73,-0.35,"2011-12","DAL",1139.15333333333
"140",101133,"Ian Mahinmi",-2.72,0.09,-2.81,-3.21,-0.43,-2.78,"2012-13","IND",1322.12666666667
"141",101133,"Ian Mahinmi",-0.48,2.83,-3.31,-0.11,1.16,-1.27,"2013-14","IND",1247.80333333333
"142",101133,"Ian Mahinmi",0.55,0.69,-0.14,-0.04,0.13,-0.17,"2014-15","IND",1145.85166666667
"143",101133,"Ian Mahinmi",0.71,1.38,-0.68,1.07,1.45,-0.38,"2015-16","IND",1815.76333333333
"144",101133,"Ian Mahinmi",0.87,0.7,0.17,0.88,0.76,0.13,"2016-17","WAS",554.801666666667
"145",101133,"Ian Mahinmi",0.33,0.18,0.15,0.83,0.39,0.45,"2017-18","WAS",1145.32666666667
"146",101133,"Ian Mahinmi",0.51,0.62,-0.11,-0.29,0.41,-0.7,"2018-19","WAS",497.766666666667
"147",101133,"Ian Mahinmi",-0.35,-0.2,-0.15,-0.52,-0.57,0.05,"2019-20","WAS",807.825
"148",101135,"David Lee",-1.29,-1.87,0.58,-1.25,-1.73,0.48,"2009-10","NYK",3018.98
"149",101135,"David Lee",-2.53,-2.87,0.34,-0.3,-1.61,1.31,"2010-11","GSW",2634.285
"150",101135,"David Lee",-0.13,-0.9,0.78,-0.21,-1.38,1.17,"2011-12","GSW",2120.99833333333
"151",101135,"David Lee",1.08,0.26,0.81,2.17,0.86,1.3,"2012-13","GSW",2907.35
"152",101135,"David Lee",4.47,2.16,2.31,2.01,1.38,0.63,"2013-14","GSW",2288.30333333333
"153",101135,"David Lee",0.21,0.01,0.2,-0.98,-0.94,-0.04,"2014-15","GSW",904.373333333333
"154",101135,"David Lee",0.18,0.4,-0.21,-0.9,0.18,-1.08,"2015-16","DAL",902.93
"155",101135,"David Lee",0.82,0.73,0.08,1.42,0.81,0.62,"2016-17","SAS",1476.95833333333
"156",101138,"Brandon Bass",0.18,-0.48,0.66,-0.19,-0.64,0.45,"2009-10","ORL",648.295
"157",101138,"Brandon Bass",0.16,2.85,-2.69,0.81,2.77,-1.96,"2010-11","ORL",1980.195
"158",101138,"Brandon Bass",0.14,-0.17,0.3,2.36,1.45,0.92,"2011-12","BOS",1868.22
"159",101138,"Brandon Bass",-2.04,-1.39,-0.65,-2.71,-1.79,-0.93,"2012-13","BOS",2239.245
"160",101138,"Brandon Bass",-3.5,-1.15,-2.35,-2.09,-0.68,-1.4,"2013-14","BOS",2266.39833333333
"161",101138,"Brandon Bass",-0.01,0.29,-0.29,-0.6,0.1,-0.7,"2014-15","BOS",1928.67
"162",101138,"Brandon Bass",1.01,-0.7,1.71,1.55,0.02,1.54,"2015-16","LAL",1342.41166666667
"163",101138,"Brandon Bass",-1.65,-1.03,-0.62,-1.62,-1.48,-0.14,"2016-17","LAC",576.865
"164",101139,"CJ Miles",1.12,0.27,0.85,1.27,0.41,0.86,"2009-10","UTA",1496.985
"165",101139,"CJ Miles",1.72,1,0.72,1.5,1.1,0.4,"2010-11","UTA",1968.61833333333
"166",101139,"CJ Miles",0.27,-0.07,0.35,0.31,0.37,-0.06,"2011-12","UTA",1144.65
"167",101139,"CJ Miles",-0.82,-0.53,-0.29,0.2,-0.01,0.22,"2012-13","CLE",1363.92333333333
"168",101139,"CJ Miles",0.77,0.71,0.05,0.58,0.32,0.26,"2013-14","CLE",984.123333333333
"169",101139,"CJ Miles",1.49,1.11,0.38,2.18,1.32,0.86,"2014-15","IND",1841.06166666667
"170",101139,"CJ Miles",-0.6,-0.33,-0.27,-1.06,-0.65,-0.41,"2015-16","IND",1463.60666666667
"171",101139,"CJ Miles",0.35,0.06,0.28,0.41,-0.06,0.48,"2016-17","IND",1776.35166666667
"172",101139,"CJ Miles",0.76,0.14,0.62,0.71,0.23,0.47,"2017-18","TOR",1336.5
