"","team_season","MP","new_LA_RAPM","new_LA_RAPM__Def","new_LA_RAPM__Off","new_RAPM","new_RAPM__Def","new_RAPM__Off"
"100","2012-13 - GSW",19451.345,7235.8874,2383.7196,4863.01786666667,10280.2887666667,3455.81126666666,6819.07979999999
"101","2012-13 - HOU",18667.2133333333,13715.9783166667,2999.68926666667,10734.2303833333,16212.7254833333,1567.70231666667,14659.0859833333
"102","2012-13 - IND",19964.845,19119.4915833333,16358.9512166667,2743.1155,19785.9616333333,20242.93025,-441.077166666673
"103","2012-13 - LAC",19894.8833333333,34628.4509166667,12334.4326166667,22297.0244,32670.5404666667,7892.70580000001,24770.7611166667
"104","2012-13 - LAL",19755,12377.6577166667,-1842.54846666666,14200.7483,14162.8912166667,-12.7114166666561,14138.8435
"105","2012-13 - MEM",19917.6633333333,15637.84105,12439.6119333333,3151.07456666667,25190.4731166667,20724.5775166667,4547.49176666667
"106","2012-13 - MIA",19857.39,28526.0541,4682.62493333333,23830.6443166667,35109.6235333333,5371.76421666667,29741.08975
"107","2012-13 - MIL",21030.68,-5050.83896666669,-3339.90278333333,-1701.96076666669,3759.09778333332,178.471666666673,3523.09286666664
"108","2012-13 - MIN",19568.7683333333,4994.8357,4960.0316,14.1409499999985,-1116.41048333333,4755.19559999999,-5856.93733333333
"109","2012-13 - NOH",20076.9466666667,-3884.94506666668,-9714.41058333335,5796.93801666666,-6013.91550000001,-11899.61545,5941.16301666666
"110","2012-13 - NYK",19141.0266666667,15916.0833,-2451.12933333332,18368.90055,24041.7748166667,-662.356866666659,24707.5217666667
"111","2012-13 - OKC",20378.2266666667,33213.8050833333,13950.3594666667,19266.6503333333,42311.0813666667,16653.1218666667,25641.2153833333
"112","2012-13 - ORL",17894.1266666667,-15934.8016166667,-10236.59235,-5658.00348333333,-21355.7278833333,-8684.00486666666,-12651.9524666667
"113","2012-13 - PHI",20321.2616666667,-7186.7899,1747.79648333333,-8957.21531666667,-3950.66586666667,3451.03935000001,-7368.15976666667
"114","2012-13 - PHX",20251.3016666667,-6652.66955000001,-1086.41806666667,-5557.73431666667,-15980.7247333334,-6115.73038333335,-9845.5106
